C + 5         6         6       3952061.5(1S)
    1 1S1               (2)0(  .5)             .0     {1}1.000
    2 2S1               (2)0(  .5)      2963904.2     {1}1.000
    3 2P1               (2)1( 2.5)      2964194.7     {1}1.000
    4 3S1               (2)0(  .5)      3512929.5     {1}1.000
    5 3P1               (2)1( 2.5)      3513015.3     {1}1.000
    6 3D1               (2)2( 4.5)      3513090.2     {1}1.000
    7 4P1               (2)1( 2.5)      3705107.2     {1}1.000
    8 4F1               (2)3( 6.5)      3705152.2     {1}1.000
    9 4S1               (2)0(  .5)      3705070.8     {1}1.000
   10 4D1               (2)2( 4.5)      3705138.6     {1}1.000
   11 5P1               (2)1( 2.5)      3794015.7     {1}1.000
   12 5S1               (2)0(  .5)      3793997.2     {1}1.000
   13 5G1               (2)4( 8.5)      3794042.7     {1}1.000
   14 5D1               (2)2( 4.5)      3794031.9     {1}1.000
   15 5F1               (2)3( 6.5)      3794038.9     {1}1.000
   -1      36.02    9.01    9.00    4.00    4.00    4.00    2.25    2.25    2.25    2.25    1.44    1.44    1.44    1.44    1.44
   6   5 1.90+00 5.11+01 5.70+01 6.28+01 6.63+01 7.06+01 7.65+01 7.99+01 8.24+01 8.58+01 9.02+01 9.61+01 9.95+01 1.02+02 1.10+02
   7   6 4.50+08 4.78-01 5.15-01 5.80-01 5.67-01 5.52-01 5.38-01 5.40-01 5.49-01 5.72-01 6.22-01 7.23-01 7.97-01 8.56-01 1.06+00
   8   6 1.79+10 2.16+01 2.28+01 2.50+01 2.57+01 2.70+01 2.98+01 3.23+01 3.46+01 3.85+01 4.48+01 5.55+01 6.27+01 6.82+01 8.72+01
  11   6 1.94+08 1.80-01 1.89-01 2.05-01 1.97-01 1.85-01 1.68-01 1.59-01 1.55-01 1.51-01 1.52-01 1.61-01 1.70-01 1.77-01 2.06-01
  15   6 5.89+09 3.75+00 3.92+00 4.24+00 4.29+00 4.39+00 4.63+00 4.86+00 5.08+00 5.47+00 6.12+00 7.25+00 8.02+00 8.62+00 1.07+01
   9   3 3.34+09 1.60-02 1.62-02 1.66-02 1.63-02 1.59-02 1.51-02 1.47-02 1.46-02 1.45-02 1.51-02 1.72-02 1.93-02 2.11-02 2.83-02
   9   5 2.38+09 1.53-01 1.61-01 1.76-01 1.83-01 1.98-01 2.38-01 2.76-01 3.13-01 3.79-01 4.89-01 6.81-01 8.14-01 9.16-01 1.27+00
   9   7 5.60-57 3.05+02 3.34+02 3.63+02 3.80+02 4.01+02 4.30+02 4.47+02 4.59+02 4.76+02 4.97+02 5.26+02 5.43+02 5.55+02 5.94+02
  11   9 9.55+08 1.28+00 1.37+00 1.53+00 1.75+00 2.16+00 3.04+00 3.77+00 4.40+00 5.44+00 7.01+00 9.55+00 1.12+01 1.25+01 1.68+01
  10   3 2.67+10 5.89-01 5.96-01 6.09-01 6.12-01 6.17-01 6.34-01 6.52-01 6.71-01 7.09-01 7.79-01 9.18-01 1.02+00 1.11+00 1.42+00
  10   5 9.12+09 4.69+00 4.87+00 5.21+00 5.45+00 5.89+00 6.88+00 7.75+00 8.55+00 9.93+00 1.21+01 1.59+01 1.85+01 2.05+01 2.74+01
  10   7 4.48-57 2.45+02 2.69+02 2.93+02 3.06+02 3.24+02 3.47+02 3.61+02 3.71+02 3.85+02 4.02+02 4.26+02 4.40+02 4.50+02 4.81+02
  11  10 2.44+08 1.12+00 1.27+00 1.52+00 1.56+00 1.64+00 1.86+00 2.06+00 2.23+00 2.53+00 2.98+00 3.70+00 4.17+00 4.52+00 5.69+00
  15  10 3.35+09 2.59+01 2.88+01 3.37+01 3.57+01 3.94+01 4.75+01 5.43+01 6.02+01 7.01+01 8.49+01 1.08+02 1.24+02 1.35+02 1.73+02
  12   3 1.67+09 7.57-03 7.66-03 7.82-03 7.66-03 7.41-03 6.96-03 6.69-03 6.52-03 6.37-03 6.40-03 6.97-03 7.63-03 8.22-03 1.07-02
  12   5 1.17+09 4.39-02 4.54-02 4.82-02 4.85-02 4.96-02 5.41-02 5.92-02 6.43-02 7.40-02 9.04-02 1.20-01 1.41-01 1.57-01 2.12-01
  12   7 8.36+08 4.21-01 4.68-01 5.47-01 6.00-01 7.05-01 9.44-01 1.15+00 1.33+00 1.63+00 2.08+00 2.83+00 3.32+00 3.68+00 4.94+00
